Id,Sales
1,7296.266
2,7459.4688
3,7619.8223
4,7336.286
5,7441.2456
6,7371.633
7,7555.8823
8,7504.669
9,7281.5166
10,7352.165
11,7460.5264
12,7543.346
13,7450.5464
14,7565.848
15,7324.154
16,7289.4927
17,7340.9673
18,7624.251
19,7751.686
20,7619.777
21,7460.368
22,7308.8564
23,7385.0073
24,7254.7275
25,7554.3613
26,7649.5835
27,7642.287
28,7366.43
29,7309.296
30,7301.2476
31,7343.4023
32,7666.5796
33,7473.4565
34,7321.983
35,7309.9453
36,7495.714
37,7266.1445
38,7495.8125
39,7250.5977
40,7432.3994
41,7442.3076
42,7352.481
43,7495.1997
44,7384.597
45,7295.7803
46,7470.024
47,7467.436
48,7694.4185
49,7413.7734
50,7523.5366
51,7491.122
52,7638.7407
53,7428.1216
54,7598.8457
55,7276.8525
56,7321.232
57,7382.192
58,7396.749
59,7593.8584
60,7480.2603
61,7338.97
62,7509.968
63,7458.0684
64,7618.844
65,7246.599
66,7848.377
67,7286.929
68,7400.8916
69,7551.5356
70,7334.8433
71,7358.306
72,7440.161
73,7468.454
74,7330.0596
75,7307.6216
76,7530.945
77,7509.777
78,7452.1377
79,7298.8447
80,7495.114
81,7732.3467
82,7446.566
83,7326.7563
84,7443.1274
85,7417.97
86,7466.176
87,7485.7676
88,7271.0977
89,7516.8945
90,7397.929
91,7435.7373
92,7423.206
93,7314.8457
94,7394.7266
95,7309.825
96,7482.2744
97,7616.4526
98,7337.766
99,7298.089
100,7409.2954
101,7377.69
102,7310.558
103,7544.544
104,7456.4526
105,7495.269
106,7344.4707
107,7314.774
108,7375.852
109,7537.3906
110,7552.841
111,7538.783
112,7540.4062
113,7368.152
114,7565.9775
115,7348.4307
116,7474.062
117,7561.654
118,7433.6997
119,7661.636
120,7568.7197
121,7489.368
122,7371.897
123,7496.0337
124,7499.3037
125,7405.7134
126,7261.9414
127,7336.788
128,7522.79
129,7476.7314
130,7288.8247
131,7564.263
132,7462.4023
133,7382.9297
134,7369.2485
135,7334.963
136,7438.6904
137,7479.058
138,7401.5015
139,7333.443
140,7309.186
141,7443.6875
142,7219.01
143,7445.005
144,7287.752
145,7584.3145
146,7493.0723
147,7421.1577
148,7597.061
149,7322.8525
150,7321.3403
151,7689.521
152,7427.6343
153,7517.2886
154,7546.4214
155,7344.4175
156,7393.4297
157,7357.328
158,7498.739
159,7785.0977
160,7358.859
161,7195.1143
162,7327.3877
163,7511.1367
164,7607.1616
165,7377.5747
166,7471.7812
167,7316.5293
168,7341.4927
169,7215.225
